image,product,product_passed,inspection,inspection_passed,read,expected
PXL_20251204_095500397.jpg,region1,False,r1_code,False,,01095060001343521726123110LOT42<GS>21SN0001
PXL_20251204_095500397.jpg,region1,False,r1_lot,False,169,42
PXL_20251204_095500397.jpg,region2,False,r2_code,False,,01095060001343521726123110LOT42<GS>21SN0002
PXL_20251204_095500397.jpg,region2,False,r2_lot,False,164,42
PXL_20251204_095505614.jpg,region1,False,r1_code,False,,01095060001343521726123110LOT42<GS>21SN0001
PXL_20251204_095505614.jpg,region1,False,r1_lot,False,161,42
PXL_20251204_095505614.jpg,region2,False,r2_code,False,,01095060001343521726123110LOT42<GS>21SN0002
PXL_20251204_095505614.jpg,region2,False,r2_lot,False,146,42
PXL_20251204_095510070.jpg,region1,False,r1_code,False,,01095060001343521726123110LOT42<GS>21SN0001
PXL_20251204_095510070.jpg,region1,False,r1_lot,False,130,42
PXL_20251204_095510070.jpg,region2,False,r2_code,False,,01095060001343521726123110LOT42<GS>21SN0002
PXL_20251204_095510070.jpg,region2,False,r2_lot,False,128,42
PXL_20251204_095516077.jpg,region1,False,r1_code,False,,01095060001343521726123110LOT42<GS>21SN0001
PXL_20251204_095516077.jpg,region1,False,r1_lot,False,137,42
PXL_20251204_095516077.jpg,region2,False,r2_code,False,,01095060001343521726123110LOT42<GS>21SN0002
PXL_20251204_095516077.jpg,region2,False,r2_lot,False,128,42
PXL_20251204_095520169.jpg,region1,False,r1_code,False,,01095060001343521726123110LOT42<GS>21SN0001
PXL_20251204_095520169.jpg,region1,False,r1_lot,False,216,42
PXL_20251204_095520169.jpg,region2,False,r2_code,False,,01095060001343521726123110LOT42<GS>21SN0002
PXL_20251204_095520169.jpg,region2,False,r2_lot,False,249,42
PXL_20251204_095526046.jpg,region1,False,r1_code,False,,01095060001343521726123110LOT42<GS>21SN0001
PXL_20251204_095526046.jpg,region1,False,r1_lot,False,140,42
PXL_20251204_095526046.jpg,region2,False,r2_code,False,,01095060001343521726123110LOT42<GS>21SN0002
PXL_20251204_095526046.jpg,region2,False,r2_lot,False,228,42
PXL_20251204_095538168.jpg,region1,False,r1_code,False,,01095060001343521726123110LOT42<GS>21SN0001
PXL_20251204_095538168.jpg,region1,False,r1_lot,False,190,42
PXL_20251204_095538168.jpg,region2,False,r2_code,False,,01095060001343521726123110LOT42<GS>21SN0002
PXL_20251204_095538168.jpg,region2,False,r2_lot,False,197,42
PXL_20251204_095542753.MP.jpg,region1,False,r1_code,False,,01095060001343521726123110LOT42<GS>21SN0001
PXL_20251204_095542753.MP.jpg,region1,False,r1_lot,False,187,42
PXL_20251204_095542753.MP.jpg,region2,False,r2_code,False,,01095060001343521726123110LOT42<GS>21SN0002
PXL_20251204_095542753.MP.jpg,region2,False,r2_lot,False,157,42
PXL_20251204_095554050.jpg,region1,False,r1_code,False,,01095060001343521726123110LOT42<GS>21SN0001
PXL_20251204_095554050.jpg,region1,False,r1_lot,False,129,42
PXL_20251204_095554050.jpg,region2,False,r2_code,False,,01095060001343521726123110LOT42<GS>21SN0002
PXL_20251204_095554050.jpg,region2,False,r2_lot,False,133,42
PXL_20251204_095615341.jpg,region1,False,r1_code,False,,01095060001343521726123110LOT42<GS>21SN0001
PXL_20251204_095615341.jpg,region1,False,r1_lot,False,130,42
PXL_20251204_095615341.jpg,region2,False,r2_code,False,,01095060001343521726123110LOT42<GS>21SN0002
PXL_20251204_095615341.jpg,region2,False,r2_lot,False,133,42
PXL_20251204_095817013.jpg,region1,False,r1_code,False,,01095060001343521726123110LOT42<GS>21SN0001
PXL_20251204_095817013.jpg,region1,False,r1_lot,False,16,42
PXL_20251204_095817013.jpg,region2,False,r2_code,False,,01095060001343521726123110LOT42<GS>21SN0002
PXL_20251204_095817013.jpg,region2,False,r2_lot,False,18,42
PXL_20251204_095821476.jpg,region1,False,r1_code,False,,01095060001343521726123110LOT42<GS>21SN0001
PXL_20251204_095821476.jpg,region1,False,r1_lot,False,185,42
PXL_20251204_095821476.jpg,region2,False,r2_code,False,,01095060001343521726123110LOT42<GS>21SN0002
PXL_20251204_095821476.jpg,region2,False,r2_lot,False,146,42
PXL_20251204_095830988.jpg,region1,False,r1_code,False,,01095060001343521726123110LOT42<GS>21SN0001
PXL_20251204_095830988.jpg,region1,False,r1_lot,False,21,42
PXL_20251204_095830988.jpg,region2,False,r2_code,False,,01095060001343521726123110LOT42<GS>21SN0002
PXL_20251204_095830988.jpg,region2,False,r2_lot,False,0,42
PXL_20251204_095841308.jpg,region1,False,r1_code,False,,01095060001343521726123110LOT42<GS>21SN0001
PXL_20251204_095841308.jpg,region1,False,r1_lot,False,0,42
PXL_20251204_095841308.jpg,region2,False,r2_code,False,,01095060001343521726123110LOT42<GS>21SN0002
PXL_20251204_095841308.jpg,region2,False,r2_lot,False,158,42
PXL_20251204_095849444.jpg,region1,False,r1_code,False,,01095060001343521726123110LOT42<GS>21SN0001
PXL_20251204_095849444.jpg,region1,False,r1_lot,False,8,42
PXL_20251204_095849444.jpg,region2,False,r2_code,False,,01095060001343521726123110LOT42<GS>21SN0002
PXL_20251204_095849444.jpg,region2,False,r2_lot,False,143,42
PXL_20251204_095855983.jpg,region1,False,r1_code,False,,01095060001343521726123110LOT42<GS>21SN0001
PXL_20251204_095855983.jpg,region1,False,r1_lot,False,96,42
PXL_20251204_095855983.jpg,region2,False,r2_code,False,,01095060001343521726123110LOT42<GS>21SN0002
PXL_20251204_095855983.jpg,region2,False,r2_lot,False,178,42
PXL_20251204_100229250.jpg,region1,False,r1_code,False,,01095060001343521726123110LOT42<GS>21SN0001
PXL_20251204_100229250.jpg,region1,False,r1_lot,False,206,42
PXL_20251204_100229250.jpg,region2,False,r2_code,False,,01095060001343521726123110LOT42<GS>21SN0002
PXL_20251204_100229250.jpg,region2,False,r2_lot,False,253,42
PXL_20251204_100239690.jpg,region1,False,r1_code,False,,01095060001343521726123110LOT42<GS>21SN0001
PXL_20251204_100239690.jpg,region1,False,r1_lot,False,113,42
PXL_20251204_100239690.jpg,region2,False,r2_code,False,,01095060001343521726123110LOT42<GS>21SN0002
PXL_20251204_100239690.jpg,region2,False,r2_lot,False,237,42
PXL_20251204_100249557.jpg,region1,False,r1_code,False,,01095060001343521726123110LOT42<GS>21SN0001
PXL_20251204_100249557.jpg,region1,False,r1_lot,False,166,42
PXL_20251204_100249557.jpg,region2,False,r2_code,False,,01095060001343521726123110LOT42<GS>21SN0002
PXL_20251204_100249557.jpg,region2,False,r2_lot,False,190,42
PXL_20251204_100255785.jpg,region1,False,r1_code,False,,01095060001343521726123110LOT42<GS>21SN0001
PXL_20251204_100255785.jpg,region1,False,r1_lot,False,128,42
PXL_20251204_100255785.jpg,region2,False,r2_code,False,,01095060001343521726123110LOT42<GS>21SN0002
PXL_20251204_100255785.jpg,region2,False,r2_lot,False,137,42
PXL_20251204_100300138.jpg,region1,False,r1_code,False,,01095060001343521726123110LOT42<GS>21SN0001
PXL_20251204_100300138.jpg,region1,False,r1_lot,False,220,42
PXL_20251204_100300138.jpg,region2,False,r2_code,False,,01095060001343521726123110LOT42<GS>21SN0002
PXL_20251204_100300138.jpg,region2,False,r2_lot,False,206,42
PXL_20251204_100309166.jpg,region1,False,r1_code,False,,01095060001343521726123110LOT42<GS>21SN0001
PXL_20251204_100309166.jpg,region1,False,r1_lot,False,84,42
PXL_20251204_100309166.jpg,region2,False,r2_code,False,,01095060001343521726123110LOT42<GS>21SN0002
PXL_20251204_100309166.jpg,region2,False,r2_lot,False,221,42
PXL_20251204_100321579.jpg,region1,False,r1_code,False,,01095060001343521726123110LOT42<GS>21SN0001
PXL_20251204_100321579.jpg,region1,False,r1_lot,False,164,42
PXL_20251204_100321579.jpg,region2,False,r2_code,False,,01095060001343521726123110LOT42<GS>21SN0002
PXL_20251204_100321579.jpg,region2,False,r2_lot,False,211,42
PXL_20251204_100337169.jpg,region1,False,r1_code,False,,01095060001343521726123110LOT42<GS>21SN0001
PXL_20251204_100337169.jpg,region1,False,r1_lot,False,114,42
PXL_20251204_100337169.jpg,region2,False,r2_code,False,,01095060001343521726123110LOT42<GS>21SN0002
PXL_20251204_100337169.jpg,region2,False,r2_lot,False,142,42
PXL_20251204_100348575.jpg,region1,False,r1_code,False,,01095060001343521726123110LOT42<GS>21SN0001
PXL_20251204_100348575.jpg,region1,False,r1_lot,False,100,42
PXL_20251204_100348575.jpg,region2,False,r2_code,False,,01095060001343521726123110LOT42<GS>21SN0002
PXL_20251204_100348575.jpg,region2,False,r2_lot,False,121,42
PXL_20251204_100401247.jpg,region1,False,r1_code,False,,01095060001343521726123110LOT42<GS>21SN0001
PXL_20251204_100401247.jpg,region1,False,r1_lot,False,62,42
PXL_20251204_100401247.jpg,region2,False,r2_code,False,,01095060001343521726123110LOT42<GS>21SN0002
PXL_20251204_100401247.jpg,region2,False,r2_lot,False,58,42
PXL_20251204_100413789.jpg,region1,False,r1_code,False,,01095060001343521726123110LOT42<GS>21SN0001
PXL_20251204_100413789.jpg,region1,False,r1_lot,False,78,42
PXL_20251204_100413789.jpg,region2,False,r2_code,False,,01095060001343521726123110LOT42<GS>21SN0002
PXL_20251204_100413789.jpg,region2,False,r2_lot,False,37,42
PXL_20251204_100417005.jpg,region1,False,r1_code,False,,01095060001343521726123110LOT42<GS>21SN0001
PXL_20251204_100417005.jpg,region1,False,r1_lot,False,46,42
PXL_20251204_100417005.jpg,region2,False,r2_code,False,,01095060001343521726123110LOT42<GS>21SN0002
PXL_20251204_100417005.jpg,region2,False,r2_lot,False,190,42
PXL_20251204_100420875.jpg,region1,False,r1_code,False,,01095060001343521726123110LOT42<GS>21SN0001
PXL_20251204_100420875.jpg,region1,False,r1_lot,False,95,42
PXL_20251204_100420875.jpg,region2,False,r2_code,False,,01095060001343521726123110LOT42<GS>21SN0002
PXL_20251204_100420875.jpg,region2,False,r2_lot,False,208,42
PXL_20251204_100429703.jpg,region1,False,r1_code,False,,01095060001343521726123110LOT42<GS>21SN0001
PXL_20251204_100429703.jpg,region1,False,r1_lot,False,136,42
PXL_20251204_100429703.jpg,region2,False,r2_code,False,,01095060001343521726123110LOT42<GS>21SN0002
PXL_20251204_100429703.jpg,region2,False,r2_lot,False,37,42
PXL_20251204_100438974.jpg,region1,False,r1_code,False,,01095060001343521726123110LOT42<GS>21SN0001
PXL_20251204_100438974.jpg,region1,False,r1_lot,False,85,42
PXL_20251204_100438974.jpg,region2,False,r2_code,False,,01095060001343521726123110LOT42<GS>21SN0002
PXL_20251204_100438974.jpg,region2,False,r2_lot,False,108,42
PXL_20251204_100443767.jpg,region1,False,r1_code,False,,01095060001343521726123110LOT42<GS>21SN0001
PXL_20251204_100443767.jpg,region1,False,r1_lot,False,203,42
PXL_20251204_100443767.jpg,region2,False,r2_code,False,,01095060001343521726123110LOT42<GS>21SN0002
PXL_20251204_100443767.jpg,region2,False,r2_lot,False,192,42
PXL_20251204_100502813.jpg,region1,False,r1_code,False,,01095060001343521726123110LOT42<GS>21SN0001
PXL_20251204_100502813.jpg,region1,False,r1_lot,False,0,42
PXL_20251204_100502813.jpg,region2,False,r2_code,False,,01095060001343521726123110LOT42<GS>21SN0002
PXL_20251204_100502813.jpg,region2,False,r2_lot,False,44,42
PXL_20251204_100523525.jpg,region1,False,r1_code,False,,01095060001343521726123110LOT42<GS>21SN0001
PXL_20251204_100523525.jpg,region1,False,r1_lot,False,78,42
PXL_20251204_100523525.jpg,region2,False,r2_code,False,,01095060001343521726123110LOT42<GS>21SN0002
PXL_20251204_100523525.jpg,region2,False,r2_lot,False,93,42
PXL_20251204_100605376.jpg,region1,False,r1_code,False,,01095060001343521726123110LOT42<GS>21SN0001
PXL_20251204_100605376.jpg,region1,False,r1_lot,False,104,42
PXL_20251204_100605376.jpg,region2,False,r2_code,False,,01095060001343521726123110LOT42<GS>21SN0002
PXL_20251204_100605376.jpg,region2,False,r2_lot,False,116,42
PXL_20251204_100626466.jpg,region1,False,r1_code,False,,01095060001343521726123110LOT42<GS>21SN0001
PXL_20251204_100626466.jpg,region1,False,r1_lot,False,222,42
PXL_20251204_100626466.jpg,region2,False,r2_code,False,,01095060001343521726123110LOT42<GS>21SN0002
PXL_20251204_100626466.jpg,region2,False,r2_lot,False,124,42
PXL_20251204_100634676.jpg,region1,False,r1_code,False,,01095060001343521726123110LOT42<GS>21SN0001
PXL_20251204_100634676.jpg,region1,False,r1_lot,False,178,42
PXL_20251204_100634676.jpg,region2,False,r2_code,False,,01095060001343521726123110LOT42<GS>21SN0002
PXL_20251204_100634676.jpg,region2,False,r2_lot,False,187,42
PXL_20251204_100638921.jpg,region1,False,r1_code,False,,01095060001343521726123110LOT42<GS>21SN0001
PXL_20251204_100638921.jpg,region1,False,r1_lot,False,210,42
PXL_20251204_100638921.jpg,region2,False,r2_code,False,,01095060001343521726123110LOT42<GS>21SN0002
PXL_20251204_100638921.jpg,region2,False,r2_lot,False,201,42
PXL_20251204_100644179.jpg,region1,False,r1_code,False,,01095060001343521726123110LOT42<GS>21SN0001
PXL_20251204_100644179.jpg,region1,False,r1_lot,False,161,42
PXL_20251204_100644179.jpg,region2,False,r2_code,False,,01095060001343521726123110LOT42<GS>21SN0002
PXL_20251204_100644179.jpg,region2,False,r2_lot,False,161,42
PXL_20251204_100654314.jpg,region1,False,r1_code,False,,01095060001343521726123110LOT42<GS>21SN0001
PXL_20251204_100654314.jpg,region1,False,r1_lot,False,228,42
PXL_20251204_100654314.jpg,region2,False,r2_code,False,,01095060001343521726123110LOT42<GS>21SN0002
PXL_20251204_100654314.jpg,region2,False,r2_lot,False,228,42
PXL_20251204_100705744.jpg,region1,False,r1_code,False,,01095060001343521726123110LOT42<GS>21SN0001
PXL_20251204_100705744.jpg,region1,False,r1_lot,False,182,42
PXL_20251204_100705744.jpg,region2,False,r2_code,False,,01095060001343521726123110LOT42<GS>21SN0002
PXL_20251204_100705744.jpg,region2,False,r2_lot,False,212,42
PXL_20251204_100817070.jpg,region1,False,r1_code,False,,01095060001343521726123110LOT42<GS>21SN0001
PXL_20251204_100817070.jpg,region1,False,r1_lot,False,103,42
PXL_20251204_100817070.jpg,region2,False,r2_code,False,,01095060001343521726123110LOT42<GS>21SN0002
PXL_20251204_100817070.jpg,region2,False,r2_lot,False,103,42
